Title;Year;Authors;Abstract;Source Title;Library;DOI;Column1;Column2
Towards a standards-compliant pure-software trusted execution environment for resource-constrained embedded devices;2019;"Janjua, Hassaan; Ammar, Mahmoud; Crispo, Bruno; Hughes, Danny";Trusted execution environments (TEEs) are becoming a requirement to protect a wide range of platforms, from cloud servers to embedded sensors. In this paper, we take a first step towards providing a pure-software Trusted Execution Environment (TEE) for resource-constrained embedded devices that lack basic hardware-based security features, such as Memory Protection Units (MPUs). Our key instrument in providing the features of TEEs is a formally-verified software-based memory isolation technique called the Security MicroVisor (S?V), that serves as a programmable trusted layer, which provides isolation by policing and regulating the execution of assembly-level instructions. This paper contributes the first architecture of a pure software TEE that supports all of the features that have been standardized by the GlobalPlatform Organization. Our implementation and evaluation results demonstrate the feasibility of implementing a standards-compliant software-based TEE for low-end embedded devices without hardware support or modification that has proven security against all networked attacks.;Proceedings of the 4th Workshop on System Software for Trusted Execution;ACM;10.1145/3342559.3365338;;
ADaPS: Adaptive Data Partitioning to Parallelize CNN Inference on Resource-Constrained Hardware;2025;"Mateu Cuadrat, Jaume; Egger, Bernhard";The growing adoption of AI applications has led to an increased demand for deploying neural networks on diverse device platforms. However, even modest networks now require specialized hardware for efficient execution due to their rising computational cost. To address this, distributed execution across connected, resource-constrained devices is gaining importance. While prior work relies on empirical models or supports limited partitioning, we present ADaPS, a novel framework for distributing Convolutional Neural Networks (CNNs) inference workloads across heterogeneous   embedded devices. Our analytical model partitions the height and width dimensions of 4D tensors and explores layer fusion opportunities, accounting for compute, memory, and communication constraints. ADaPS efficiently explores the vast partitioning space using a tree-based hybrid optimization algorithm combining Alpha-Beta pruning and dynamic programming. Evaluations on multiple CNNs and device configurations show that ADaPS is able to improve inference latency by up to 1.2x on average while significantly reducing data transfers compared to state-of-the-art methods.;Proceedings of the 26th ACM SIGPLAN/SIGBED International Conference on Languages, Compilers, and Tools for Embedded Systems;ACM;10.1145/3735452.3735532;;
Demo: An Experimental Platform for AI Model Partitioning on Resource-constrained Devices;2024;"Kafetzis, Dimitrios; Koutsopoulos, Iordanis";Partitioning Artificial Intelligence (AI) models such as Deep Neural Networks (DNNs) or Transformer-based Architectures is essential for minimizing latency in resource-constrained edge computing environments, which is critical for applications such as real-time video analytics, autonomous vehicles, smart IoT systems, and most importantly, on-device Large Language Models (LLMs)1. This paper presents a demonstration of an experimental platform showcased for DNN partitioning for the inference stage, which comprises a WiFi network of Raspberry Pi 4 devices. The platform supports research on optimizing inference in distributed setups, focusing on performance and resource usage and it can support several architectures, ranging from simple and deep NNs, to more advanced transformer-based architectures.;Proceedings of the Twenty-Fifth International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing;ACM;10.1145/3641512.3690629;;
Automated Detection of Cryptographic Inconsistencies in Android’s Keymaster Implementations;2024;"Imran, Abdullah; Bianchi, Antonio";Android smartphones use a dedicated component, Keymaster, to perform all their cryptographic, security-sensitive operations (e.g., storing cryptographic material and performing signing operations). While all Android Keymaster implementations need to expose a specific interface, their internals are hard to analyze, since their source code is generally not available. Moreover, Android Keymasters' code normally runs in a Trusted Execution Environment (TEE), where typical debugging functionality is not available. For these reasons, Keymaster implementations cannot be analyzed using white-box or gray-box automated approaches.To address this issue, in this paper, we design, implement, and evaluate AKF (Android Keymaster Fuzzer), a device-agnostic, differential, black-box fuzzer. AKF uses a dynamic grammar to test, in parallel, multiple Keymaster implementations, comparing their behavior, looking for inconsistencies. AKF can operate on different Keymaster implementations at the same time, including Keymaster implementations running on different devices and in different TEEs (e.g., ARM TrustZone and Google's Titan-M).We evaluated AKF by running it on 6 different Android devices, where it correctly detected 87 implementation inconsistencies that are a cause for concern in terms of both security and usability of cryptographic operations, including a previously-known encryption bug affecting the Titan-M chip (CVE-2019-9465).;Proceedings of the 22nd Annual International Conference on Mobile Systems, Applications and Services;ACM;10.1145/3643832.3661893;;
HiRTOS: A Multi-core RTOS Written in SPARK Ada;2025;Rivera, J. Germ\'{a}n;This paper describes the design of HiRTOS (High- Integrity RTOS), a simple real-time operating system kernel and separation kernel written in SPARK Ada. HiRTOS targets safety-critical and security-sensitive embedded software applications that run in multi-core microcontrollers.;Ada Lett.;ACM;10.1145/3742939.3742959;;
TEE-Assisted Time-Scale Database Management System on IoT devices;2024;"Wang, Jinjin; Du, Yizhou; Wang, Xiangyu; Ma, Chengyan; Lu, Di; Xi, Ning";"Internet of Things (IoT) devices are usually vulnerable to attackers due to design imperfections and a lack of security measures. Since these devices are commonly used to collect data, safeguarding the security of data originating from them becomes an imperative priority. Encrypted database is a solution that takes both data security and availability into account. However, due to the resource-constrained nature of IoT devices, the implementation of existing encrypted databases poses challenges. Furthermore, existing encrypted databases only ensure data storage security, but they overlook data confidentiality while it is being processed in the device’s memory. To address the above issues, we devised a TEE-assisted encrypted database for managing sensitive information on embedded devices. By leveraging the protective capabilities offered by Trusted Execution Environment (TEE), our design can protect the confidentiality and integrity of data in a full life-cycle. Additionally, as IoT devices are frequently employed for collecting time-series data, we addressed the challenge of high-frequency data insertion by utilizing the Switchless-Feature and changing the data storage structure. Experiments demonstrate that our system’s data operation time is 30-60% faster than that of a similar solution, SMAUG&nbsp;[4], and it significantly enhances performance for high-frequency data insertion.";Proceedings of the 13th International Conference on the Internet of Things;ACM;10.1145/3627050.3631578;;
Mr-TEE: Practical Trusted Execution of Mixed-Criticality Code;2023;"Van Eyck, Tom; Trimech, Hamdi; Michiels, Sam; Hughes, Danny; Salehi, Majid; Janjuaa, Hassan; Ta, Thanh-Liem";Industry 4.0 is increasingly using commodity hardware and software in place of dedicated control systems to lower costs and increase flexibility. However, this means that critical control code must compete for resources with an increasingly complex software stack that exposes a new attack surface. The Mixed Criticality Trusted Execution Environment (Mr-TEE) tackles this problem at its root, by delivering availability for safety-critical control code, while running untrusted applications in a minimally modified Linux stack. This is achieved by providing a real-time scheduler and novel peripheral sharing system in the Secure World. Mr-TEE hence provides the best of both worlds for Industry 4.0 developers, ensuring the trusted execution of time-sensitive control applications, while minimizing design effort and restrictions for untrusted applications. Evaluation on an Arm TrustZone-enabled Cortex MCU demonstrates a worst-case overhead of 1.88% to support real-time scheduling in the TEE.;Proceedings of the 24th International Middleware Conference: Industrial Track;ACM;10.1145/3626562.3626831;;
L-IDS: A lightweight hardware-assisted IDS for IoT systems to detect ransomware attacks;2023;"Mofidi, Farhad; Hounsinou, Sena; Bloom, Gedare";In recent years, ransomware has evolved to target Internet of things (IoT) devices, such as medical equipment and thermostats. Traditional ransomware detection methods may not be effective for resource-constrained IoT devices as IoT-based ransomware is geared towards impairing functionality rather than accessing data. Therefore, this article proposes L-IDS, a lightweight hardware-assisted intrusion detection system that combines hardware-assisted security, such as Trusted Execution Environment, with machine learning algorithms to detect and mitigate ransomware inside an IoT system with fewer resources. The proposed approach can more effectively protect IoT systems from ransomware attacks and requires less resources than traditional security scanning methods.;Proceedings of the 8th ACM/IEEE Conference on Internet of Things Design and Implementation;ACM;10.1145/3576842.3589170;;
The Cost of OSCORE and EDHOC for Constrained Devices;2021;"Hristozov, Stefan; Huber, Manuel; Xu, Lei; Fietz, Jaro; Liess, Marco; Sigl, Georg";Many modern IoT applications rely on the Constrained Application Protocol (CoAP). Recently, the Internet Engineering Task Force (IETF) proposed two novel protocols for securing it. These are: 1) Object Security for Constrained RESTful Environments (OSCORE) providing authenticated encryption for the CoAP's payload data and 2) Ephemeral Diffie-Hellman Over COSE (EDHOC) providing the symmetric session keys required for OSCORE. In this paper, we present the design of four firmware libraries for these protocols which are especially targeted for constrained microcontrollers and their detailed evaluation. More precisely, we present the design of uOSCORE and ?EDHOC libraries for regular microcontrollers and ?OSCORE-TEE and ?EDHOC-TEE libraries for microcontrollers with a Trusted Execution Environment (TEE), such as microcontrollers featuring ARM TrustZone-M. Our firmware design for the latter class of devices concerns the fact that attackers may exploit common software vulnerabilities, e.g., buffer overflows in the protocol logic, OS or application to compromise the protocol security. We present an evaluation of our implementations in terms of RAM/FLASH requirements and execution speed on a broad range of microcontrollers. Our implementations are available as open-source software.;Proceedings of the Eleventh ACM Conference on Data and Application Security and Privacy;ACM;10.1145/3422337.3447834;;
Research on ARM TrustZone;2019;"Li, Wenhao; Xia, Yubin; Chen, Haibo";ARM TrustZone [1] is a hardware-based security feature that can provide software with a high-privilege and isolated execution environment. Such isolation is ensured by hardware, which is usually considered as more trustworthy than software. Thus the execution environment is also known as trusted execution environment (TEE). TrustZone technology was proposed in 2002, but did not get widely used until 2009, when Apple released iPhone 5s. In iPhone 5s, Apple leveraged TrustZone to protect its Touch ID, which ensures that even if the iOS is fully compromised, the user's fingerprint data can still be safe. In 2017, Google made TEE a mandatory requirement on any Android devices with a fingerprint scanner. Nowadays, almost all mobile phones and tablets have TEE deployed. Meanwhile, ARM integrates TrustZone in ARM64 and ARMv8-M to support a broader range of platforms including servers and IoT devices.;GetMobile: Mobile Comp. and Comm.;ACM;10.1145/3308755.3308761;;
