Document Title;Publication Year;Authors;Source Title;Abstract;Library;DOI
Slice-Based 6G Network with Enhanced Manta Ray Deep Reinforcement Learning-Driven Proactive and Robust Resource Management;;Venkata Satya Suresh kumar Kondeti, Raghavendra Kulkarni, Binu Sudhakaran Pillai, Surendran Rajendran;Computers, Materials and Continua;Next-generation 6G networks seek to provide ultra-reliable and low-latency communications, necessitating network designs that are intelligent and adaptable. Network slicing has developed as an effective option for resource separation and service-level differentiation inside virtualized infrastructures. Nonetheless, sustaining elevated Quality of Service (QoS) in dynamic, resource-limited systems poses significant hurdles. This study introduces an innovative packet-based proactive end-to-end (ETE) resource management system that facilitates network slicing with improved resilience and proactivity. To get around the drawbacks of conventional reactive systems, we develop a cost-efficient slice provisioning architecture that takes into account limits on radio, processing, and transmission resources. The optimization issue is non-convex, NP-hard, and requires online resolution in a dynamic setting. We offer a hybrid solution that integrates an advanced Deep Reinforcement Learning (DRL) methodology with an Improved Manta-Ray Foraging Optimization (ImpMRFO) algorithm. The ImpMRFO utilizes Chebyshev chaotic mapping for the formation of a varied starting population and incorporates Lévy flight-based stochastic movement to avert premature convergence, hence facilitating improved exploration-exploitation trade-offs. The DRL model perpetually acquires optimum provisioning strategies via agent-environment interactions, whereas the ImpMRFO enhances policy performance for effective slice provisioning. The solution, developed in Python, is evaluated across several 6G slicing scenarios that include varied QoS profiles and traffic requirements. The DRL model perpetually acquires optimum provisioning methods via agent-environment interactions, while the ImpMRFO enhances policy performance for effective slice provisioning. The solution, developed in Python, is evaluated across several 6G slicing scenarios that include varied QoS profiles and traffic requirements. Experimental findings reveal that the proactive ETE system outperforms DRL models and non-resilient provisioning techniques. Our technique increases PSSRr, decreases average latency, and optimizes resource use. These results demonstrate that the hybrid architecture for robust, real-time, and scalable slice management in future 6G networks is feasible.;ScienceDirect;10.32604/cmc.2025.066428.
SIW-based frequency-adjustable antenna for IoT-based duplex wireless devices;;Amjad Iqbal, Muath Al-Hasan, Ismail Ben Mabrouk, Pererik Andreasson, Emil Nilsson, Amor Smida, Tayeb A. Denidni;AEU - International Journal of Electronics and Communications;This paper proposes a compact and frequency-adjustable/reconfigurable dielectric (DR)-loaded eighth-mode substrate integrated waveguide (EMSIW) antenna for duplex wireless communications. The miniaturization of the resonators is realized using a rectangular slot and high isolation is achieved by keeping a reasonable space between them. The proposed design is simulated using a three-dimensional (3D) full-wave simulator, then analysed with a circuit model and finally validated experimentally. Frequency-reconfigurability in the suggested antenna is achieved by placing DRs with different permittivities in the designated holes that are realized in the open-ended portion of each resonator. Consequently, the lower- and high-resonant bands can be reconfigured from 4.70 to 5.23 GHz and from 5.55 to 6.34 GHz, respectively. It is worth mentioning that both resonant band can be independently reconfigured. Moreover, the inter-resonator coupling is always lower than ?23.5 dB in the bands of interest. Furthermore, the peak realized gains are always greater than 4.7 dBi in the lower frequency band and 5.5 dBi in the higher one. The suggested antenna has stable radiation properties in both bands in all frequency ranges. Hence, this design is suitable for compact reconfigurable devices due to its compactness, large frequency ranges, stable radiation patterns, and high isolation.;ScienceDirect;10.1016/j.aeue.2023.155019.
Perception-aware online trajectory generation for a prescribed manoeuvre of unmanned surface vehicle in cluttered unstructured environment;;Amirmehdi Yazdani, Somaiyeh MahmoudZadeh, Oleg Yakimenko, Hai Wang;Robotics and Autonomous Systems;This paper proposes a perception-aware online trajectory generation system that facilitates prescribed manoeuvres of an unmanned surface vehicle (USV) in a dynamic unstructured environment. The proposed system is developed based on the principles of the inverse dynamics in the virtual domain (IDVD) method and an event-triggered receding horizon control (ETRHC) mechanism. This approach transforms the underlying nonconvex constrained optimization problem into a virtual space with a differentially flat dynamics and uses relatively few decision variables to prototype feasible quasi-optimal trajectories. The closed-loop configuration is provided by a computationally efficient ETRHC mechanism that uses situational awareness of operating environment to trigger trajectory replanning if/when required. This addresses the challenge of continuously updating a closed-loop trajectory which imposes unnecessary computational burden on a system with the limited onboard resources. To investigate the performance of the proposed trajectory generating system, a dynamic unstructured environment including variable and uncertain no-fly zone areas as well as variable current vector fields are modeled. Further, different operating conditions incorporating the uncertainties of environment and sudden failure on the USV propulsion system are introduced to examine the effectiveness, agility, and robustness of the proposed trajectory generating system. A comparative study with benchmark solutions generated by the hp-adaptive Radau pseudo-spectral method is conducted to provide a detailed statistical analysis of the proposed approach robustness, computational complexity, and effectiveness. The simulation results confirm the effectiveness of the proposed trajectory generator and ability to produce a solution for online realization.;ScienceDirect;10.1016/j.robot.2023.104508.
An exact comparison of global, partitioned, and semi-partitioned fixed-priority real-time multiprocessor schedulers;;Artem Burmyakov, Borislav Nikoli?;Journal of Systems Architecture;We evaluate the performance of global, partitioned, and semi-partitioned fixed-priority (FP) multiprocessor schedulers for sporadic real-time tasks. By conducting a range of exhaustive experiments, we support a prior observation of Baruah regarding the incomparability of global and partitioned fixed-priority schedulers, by demonstrating the existence of multiple task sets, which are schedulable by either one or another approach, but not both simultaneously. In addition, we demonstrate that a suboptimal semi-partitioning heuristic, named Deadline Monotonic with Priority Migration (DM-PM), in certain cases outperforms both global and partitioned FP schedulers. Unlike other works, our evaluation is based on an exact schedulability test for global scheduling, as well as relies on optimal task priorities for global FP, and an optimal partitioning of tasks to processors. However, due to the exponential computational complexity of the available exact schedulability test, our evaluation is constrained to a limited number of tasks in a set. On average, partitioned scheduling performs better for a lower number of heavy tasks in a task set, while global scheduling is the opposite. The schedulability gain of one approach over another might exceed 50%, for both cases. To make such an evaluation possible, we derive a method to compute optimal task priorities for global FP by using a set of pruning rules. We demonstrate that the gain of such optimal priorities over other widely used priority assignment heuristics, including Deadline Monotonic (DM), can be significant, in certain cases. Moreover, we evaluate the performance of an optimal task partitioning over the available suboptimal partition heuristics, namely first-fit decreasing (FFD) and worst-fit decreasing (WFD), and confirm no significant performance difference between them, for considered task settings. Software tools used in our evaluation are implemented using C++ libraries, and are publicly available.;ScienceDirect;10.1016/j.sysarc.2021.102313.
DIDS: A distributed inference framework with dynamic scheduling capability;;Yuwei Yan, Yikun Hu, Qinyun Cai, WangDong Yang, Kenli Li;Future Generation Computer Systems;Distributed inference is a promising solution for deploying Deep Neural Network (DNN) applications in resource-constrained edge environments. However, due to the complexity and variability of edge scenarios, efficiently completing DNN inference remains challenging. While previous works have made significant progress in various aspects such as partition strategy, device diversity, and memory overhead, few consider the impact of environmental dynamics, particularly environmental workloads. This oversight renders existing solutions impractical. In this study, we propose DIDS, a distributed inference framework with dynamic scheduling capability that considers environmental dynamics. We first conduct a formal analysis of distributed inference and design two basic scheduling strategies: Re-Partition and Complete-Push. Then we introduce Dynamic Push, a runtime scheduler based on Complete-Push that aims to mitigate the impact of environmental workloads through runtime scheduling. The evaluation results show that DIDS can achieve up to 3.7x speedup compared to static distributed inference, in addition, DIDS is also able to achieve significant improvement compared to the state-of-the-art method.;ScienceDirect;10.1016/j.future.2024.07.037.
Techniques to alleviate blockchain bloat: Potentials, challenges, and recommendations;;Yehia Ibrahim Alzoubi, Alok Mishra;Computers and Electrical Engineering;Blockchain (BC) bloat, characterized by excessive data growth on BC networks, presents a pressing challenge. The need for a comprehensive study addressing BC bloat solutions arises due to the scarcity of knowledge in this emerging area. This study advances knowledge along with practical insights and inspires innovative approaches to address BC bloat. This research explores various techniques proposed to combat BC bloat. Two technique themes are identified: on-chain and off-chain techniques. On-chain techniques focus on updating the consensus mechanism, block size, or database partition. This study identified five on-chain techniques: structural modification, pruning, sharding, ephemeral BC, and zk-SNARKs. Off-chain techniques focus on processing in parallel, bundling transactions, or handling transactions off-chain. Further, three off-chain techniques identified are off-chain storage, historical data storage, and light clients’ techniques. These recommendations aim to optimize resources use, enhance scalability, and maintain data integrity. However, these may compromise several BC capabilities, such as security, privacy, and data loss. The applicability of these techniques for resource-constrained devices is also explored. Future research should include further investigation into the performance and applicability of these techniques, especially in resource-constrained environments like IoT and fog computing.;ScienceDirect;10.1016/j.compeleceng.2024.109216.
CoPaM: Cost-aware VM Placement and Migration for Mobile services in Multi-Cloudlet environment: An SDN-based approach;;Shirzad Shahryari, Farzad Tashtarian, Seyed-Amin Hosseini-Seno;Computer Communications;Edge Cloud Computing (ECC) is a new approach for bringing Mobile Cloud Computing (MCC) services closer to mobile users in order to facilitate the complicated application execution on resource-constrained mobile devices. The main objective of the ECC solution with the cloudlet approach is mitigating the latency and augmenting the available bandwidth. This is basically done by deploying servers (a.k.a. “Cloudlets”) close to the user’s device on the edge of the cellular network. When considering the users’ mobility along with the limited resource of the cloudlets serving them, the user-cloudlet communication may need to go through multiple hops, which may seriously affect the communication delay between them and the quality of services (QoS). To reduce as much as possible the negative effects of such a QoS degradation, service execution must be dynamically migrated to a better placement. This study proposes a novel Cost-aware Virtual Machine (VM) placement and migration (CoPaM) framework for mobile services in a network of cloudlets. A Mixed Integer Linear Programming (MILP) model is proposed to select the least cost cloudlets for serving mobile users to a given trajectory in advance based on path prediction methods. Since the proposed model is NP-hard, it is not applicable within large-scale environments with a centralized approach and the use of Software Defined Networking (SDN) technology. Therefore, a heuristic algorithm is presented. Experiments are conducted by emulating the proposed framework in Mininet-WiFi with the Floodlight usage as the SDN controller. The simulation results show the superiority of the performance of the proposed architecture in terms of the service rate and the costs imposed on the operator in comparison to existing approaches.;ScienceDirect;10.1016/j.comcom.2022.05.005.
A mobility-compliant publish–subscribe system for an information-centric Internet of Things;;Cenk Gündo?an, Peter Kietzmann, Thomas C. Schmidt, Matthias Wählisch;Computer Networks;The Information centric networking paradigm has proven particularly useful for the constrained Internet of Things (IoT), in which nodes are challenged by end-to-end communication without network assistance. This work focuses on the interaction between possibly mobile sensors and actuators in such IoT regimes which deploy the Named-Data Networking (NDN) architecture. Constrained nodes in interactive scenarios need to be highly responsive but can only manage limited control state. We argue that the request-driven NDN networking paradigm, which prevents pushing of unsolicited data, should be preserved to confine the attack surface, whereas unsolicited link-local signaling can accelerate responses without sacrificing security. In this paper, we contribute HoP-and-Pull (HoPP), a robust publish–subscribe scheme for typical IoT scenarios that targets low-power and lossy wireless networks running hundreds of resource constrained devices at intermittent connectivity. Our approach limits in-memory forwarding state to a minimum and naturally supports producer mobility, a temporary partitioning of networks, data aggregation on intermediary hops, and near real-time reactivity. We thoroughly evaluate the protocol by experiments in a realistic, large testbed with varying numbers of constrained devices, each interconnected via IEEE 802.15.4 wireless LoWPANs. We compare HoPP with common ICN pub–sub and mobility schemes as well as with basic MIPv6 and anchor-based multicast mobility. Implementations are built on CCN-lite with RIOT and support experiments using various single- and multi-hop scenarios.;ScienceDirect;10.1016/j.comnet.2021.108656.
Towards cost-aware VM migration to maximize the profit in federated clouds;;Moustafa Najm, Venkatesh Tamarapalli;Future Generation Computer Systems;Federated cloud has emerged as a cost-effective and scalable platform for multiple cloud providers to collaborate in serving the growing demand for cloud resources. In a federation, the major concern for each cloud provider is to maximize its own profit while meeting the quality of service requirements of end-users. Virtual machine (VM) migration allows the cloud provider to rent resources across the other cloud providers in a federation to minimize the cost. However, VM migration comes with an additional penalty in terms of time and cost, and it might degrade the performance of the system during migration. We address the problem of cost-aware VM migration in federated clouds to maximize the profit of the cloud provider by minimizing the cost. We analyze the impact of VM migration across the data centers in a federation by modeling migration cost, migration time, and downtime. We formulate an optimization problem to minimize the total cost of operation (TCO) of the cloud provider as well as the migration time. We model the TCO to include the cost of hosted VMs and their migration cost. We propose efficient heuristics to select the source and destination data centers for migration, as well as the VM to be migrated. Based on these heuristics, we design a polynomial-time VM migration algorithm to minimize the TCO and migration time. The proposed algorithm considers the characteristics of the VMs, the bandwidth and the data transfer price across data centers to give the highest benefit in migration. We evaluate the proposed algorithm using CloudSim across different scenarios. Our results demonstrate the advantages of VM migration in a federated cloud for both the cloud provider and the end-user, to lower the TCO and the migration downtime. The proposed algorithm is shown to outperform other baseline approaches, with up to 48% reduction in the TCO along with reducing the migration time, downtime, and number of migrations. We also evaluate the impact of network bandwidth and the page dirty rate of VMs on migration performance.;ScienceDirect;10.1016/j.future.2022.03.020.
Drops on surface optimization (DSO): A new reinforcement learning based metaheuristic algorithm for virtual network functions placement in distributed cloud architectures;;Marzieh Mohammadi, S. Ahmad Motamedi, Saeed Sharifian;Computer Networks;With the goal of making the networks more agile, flexible and cost efficient, network function virtualization (NFV) is one of the latest and most promising technologies introduced. This technology is the key block of future internet and plays a critical role in modern networks. Using this paradigm, different network functions can be independently deployed on general purpose hardware instead of residing on dedicated hardware (network appliances in traditional networks). NFV enables faster development and lower costs. As any other new technology, NFV has some emerging challenges along with its benefits. The main research challenge of NFV is the necessity of optimally placing the virtual network functions (VNFs) in an NFV-enabled network. This problem is mainly known as the VNF placement (VNFP) problem in the literature. Due to the nature of network applications, this placement should be scalable for large network sizes. In this paper, the VNFP problem is addressed and a new metaheuristic algorithm is proposed based on the behavior of droplets on a surface, named the Drops on Surface Optimization (DSO) Algorithm. In order to enhance the proposed algorithm by dynamic selection strategy, a reinforcement learning approach (Q learning) is adopted. A comprehensive evaluation is carried out using standard networks, compared with several methods. Simulation results reveal that our proposed algorithm outperforms other state-of-the-art approaches in terms of total end-to-end propagation delay of the placed service chain, cost of placement, number of active servers involved in the placement and scalability.;ScienceDirect;10.1016/j.comnet.2022.109459.
