Title;Year;Authors;Source title;Abstract;Library;DOI
QoS-aware Network Slicing and Resource Management for Internet of Vehicles in 5G networks;2025;"Hamdi W.; Dağdeviren O.; Bulut H.";Ad Hoc Networks;The development of Internet of Vehicles (IoV) technologies brings with it numerous challenges, such as heterogeneous Quality of Service (QoS) in 5G and beyond (B5G). These challenges go hand in hand with spectrum scarcity, one of the biggest challenges of future wireless technologies. This will be exacerbated especially in the era of Vehicle-to-Everything (V2X) communication due to the limitation of radio resources such as channels, bandwidth, and power. This challenge is further intensified by the increasing number of vehicles. Therefore, spectrum sharing initiatives have a significant impact on traffic safety and efficiency. In response to these challenges and to meet the diverse QoS requirements of vehicular applications within 5G/B5G, new paradigms such as New Radio Vehicle-to-Everything (NR-V2X) and Network Slicing (NS) have emerged as important solutions. Network Slicing efficiently divides the physical network into slices tailored to Ultra-Reliable Low Latency Communications (URLLC), Enhanced Mobile Broadband (eMBB) and massive Machine Type Communications (mMTC). In this paper, we investigate the IoV slicing problem with QoS support, focusing on partitioning the physical network into three different slices: URLLC, eMBB and mMTC. To ensure seamless communication in vehicular networks, our mixed method approach effectively incorporates handover mechanisms, emergency traffic prioritization, based services, and road network-specific parameters. In addition, we propose two resource allocation algorithms that enable efficient allocation of resources to vehicles and comply with the standardization principles of the 3rd Generation Partnership Project (3GPP). These algorithms aim to prioritize emergency traffic during incidents while maintaining an acceptable QoS for non-safety services in a resource-constrained environment, thus improving Key Performance Indicators (KPIs). Detailed simulations show the effectiveness of the proposed algorithms, and confirm their ability to improve the performance of emergency services in terms of end-to-end delay while ensuring acceptable reliability and throughput. Comparative evaluations further highlight the superiority of the proposed NS method over other existing approaches. © 2025 Elsevier B.V.;Scopus;10.1016/j.adhoc.2025.103976
Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-constrained Pruning;2025;"Xu B.; Yin Y.; Iyer V.; Li P.";Proceedings - International Symposium on Computer Architecture;"Spiking neural networks(SNNs) have emerged as a promising solution for deployment on resource-constrained edge devices and neuromorphic hardware due to their low power consumption. Spiking transformers, which integrate attention mechanisms similar to those found in artificial neural networks (ANNs), have recently exhibited impressive performance. However, these models are large in size and involve high-volume computation in both time and space, posing significant challenges for efficient hardware acceleration. We present Bishop, the first dedicated hardware accelerator architecture and HW/SW co-design framework for spiking transformers that optimally represents, manages, and processes spike-based workloads while exploring spatiotemporal sparsity and data reuse. Specifically, we introduce the concept of Token-Time Bundle (TTB), a container that bundles spiking data of a set of tokens over multiple time points. Our heterogeneous accelerator architecture Bishop concurrently processes workload packed in TTBs and explores intra- and inter-bundle multiple-bit weight reuse to significantly reduce memory access. Bishop utilizes a stratifier, a dense core array, and a sparse core array to process MLP blocks and projection layers. The stratifier routes high-density spiking activation workload to the dense core and low-density counterpart to the sparse core, ensuring optimized processing tailored to the given spatiotemporal sparsity level. To further reduce data access and computation, we introduce a novel Bundle Sparsity-Aware (BSA) training pipeline that enhances not only the overall but also structured TTB-level firing sparsity. Moreover, the processing efficiency of self-attention layers is boosted by the proposed Error-Constrained TTB Pruning (ECP), which trims activities in spiking queries, keys, and values both before and after the computation of spiking attention maps with a well-defined error bound. Finally, we design a reconfigurable TTB spiking attention core to efficiently compute spiking attention maps by executing highly simplified ""AND""and ""Accumulate""operations. On average, Bishop achieves a 5.91× speedup and 6.11× improvement in energy efficiency over previous SNN accelerators, while delivering higher accuracy across multiple datasets.  © 2025 Copyright held by the owner/author(s).";Scopus;10.1145/3695053.3731063
DNNPipe: Dynamic programming-based optimal DNN partitioning for pipelined inference on IoT networks;2025;"Seo W.; Kim S.; Hong S.";Journal of Systems Architecture;Pipeline parallelization is an effective technique that enables the efficient execution of deep neural network (DNN) inference on resource-constrained IoT devices. To enable pipeline parallelization across computing nodes with asymmetric performance profiles, interconnected via low-latency, high-bandwidth networks, we propose DNNPipe, a DNN partitioning algorithm that constructs a pipeline plan for a given DNN. The primary objective of DNNPipe is to maximize the throughput of DNN inference while minimizing the runtime overhead of DNN partitioning, which is repeatedly executed online in dynamically changing IoT environments. To achieve this, DNNPipe uses dynamic programming (DP) with pruning techniques that preserve optimality to explore the search space and find the optimal pipeline plan whose maximum stage time is no greater than that of any other possible pipeline plan. Specifically, it aggressively prunes suboptimal pipeline plans using two pruning techniques: upper-bound-based pruning and under-utilized-stage pruning. Our experimental results demonstrate that pipelined inference using an obtained optimal pipeline plan improves DNN throughput by up to 1.78 times compared to the highest performing single device and DNNPipe achieves up to 98.26 % lower runtime overhead compared to PipeEdge, the fastest known optimal DNN partitioning algorithm. © 2025;Scopus;10.1016/j.sysarc.2025.103462
TCL: Time-Dependent Clustering Loss for Optimizing Post-Training Feature Map Quantization for Partitioned DNNs;2025;"Berg O.A.B.; Saqib E.; Jantsch A.; Shallari I.; Krug S.; Sánchez Leal I.; O'Nils M.";IEEE Access;This paper introduces an enhanced approach for deploying deep learning models on resource-constrained IoT devices by combining model partitioning, autoencoder-based compression, quantization with Time Dependent Clustering Loss (TCL) regularization, and lossless compression, to reduce communication overhead, minimizing latency while maintaining accuracy. The autoencoder compresses feature maps at the partitioning point before quantization, effectively reducing data size and preserving accuracy. TCL regularization clusters activations at the partitioning point to align with quantization levels, minimizing quantization error and ensuring accuracy even with extreme low-bitwidth quantization. Our method is evaluated on classification models (ResNet-50, EfficientNetV2-S) and an object detection model (YOLOv10n) using the TinyImageNet-200 and Pascal VOC datasets. Deployed on Raspberry Pi 4 B and GPU, each model is tested across various partitioning points, quantization bit-widths (1-bit, 2-bit, and 3-bit), communication datarate (1MB/s to 10MB/s), and LZMA lossless compression. For a partitioned ResNet-50 after the convolutional stem block, the speed-up against a server solution is 2.33x and 1.85x compared to the all-in-node solution, with only a minimal accuracy drop of less than one percentage points. The proposed framework offers a scalable solution for deploying high-performance AI models on IoT devices, extending the feasibility of real-time inference in resource-constrained environments. © 2013 IEEE.;Scopus;10.1109/ACCESS.2025.3579107
Joint Optimization of Model Partitioning and Resource Allocation for Multi-Exit DNNs in Edge-Device Collaboration;2025;"Ma Y.; Wang Y.; Tang B.";Electronics (Switzerland);The increasing complexity and computational demands of deep neural networks (DNNs) pose significant challenges and deployment on resource-constrained devices due to substantial latency and considerable energy consumption. Multi-exit DNNs have emerged as a promising solution, enabling simple tasks to exit early at intermediate network layers, thereby reducing inference latency and improving efficiency. However, relying solely on the computational capacity of end devices is often insufficient to meet performance requirements. Edge computing, by offloading part of the model’s computation to edge servers, has become a key solution to address this issue. Despite the potential of multi-exit DNNs in edge computing environments, two major challenges remain: model partitioning and resource allocation on edge servers. Existing research often focuses on model partitioning strategies or resource allocation strategies in isolation, neglecting the mutual optimization between the two. Moreover, energy consumption, a critical performance metric, is frequently overlooked in the optimization process. To address these issues, this paper proposes a joint optimization framework for model partitioning and resource allocation, integrating multi-exit DNNs and incorporating a deep reinforcement learning (DRL)-based optimization algorithm. Experimental results demonstrate that the proposed method significantly reduces inference costs and enhances system performance. © 2025 by the authors.;Scopus;10.3390/electronics14081647
MRM-PSO: An enhanced particle swarm optimization technique for resource management in highly dynamic edge computing environments;2025;"Molaei S.; Sabaei M.; Taheri J.";Ad Hoc Networks;The resource constraints of Internet of Things (IoT) devices pose significant hurdles to delay-sensitive applications that operate in dynamic and wireless settings. Since offloading tasks to cloud servers can be hindered by security concerns and latency issues, edge and fog computing bring computation closer to data sources. Given their inherently distributed and resource-constrained nature, edge/fog-enabled platforms require more advanced resource-management solutions to address the numerous constraints encountered in dynamic and wireless environments. This study introduces an innovative resource management algorithm designed for dynamic edge/fog computing environments, tailored to real-world applications, with the objective of enhancing delay performance through optimal container placement. The resource management problem incorporates mobility patterns in wireless settings to reduce migration delay and the processing history of edge/fog nodes to provide a novel method for computing processing delay, resulting in a combined optimization problem expressed in an integer linear programming (ILP) format. To address the formulated NP-Hard problem, we developed a low-complexity Metaheuristic Resource Management algorithm based on Particle Swarm Optimization (MRM-PSO) with effective particle modelling. Our experimental findings demonstrate that greedy heuristics and genetic algorithm (GA) are inadequate for efficiently resolving a given problem, whereas our proposed MRM-PSO algorithm efficiently locates near-optimal solutions within reasonable execution times when compared to exact solvers. MRM-PSO reduces execution time by up to 663.82 % in the worst case and 2307.5 % in the best case. Furthermore, it attains a delay that is just 0.98 % higher in the best case and 5.54 % higher in the worst case compared to the optimal solution. © 2025;Scopus;10.1016/j.adhoc.2025.103952
nnWeb: Towards efficient WebGPU-based DNN inference via automatic collaborative offloading;2025;"Liu J.; Dong B.; Wang W.; Yuan M.; Li B.; Xu Z.-D.; Wang S.";Computer Networks;"In-browser neural network inference offers the promise of cross-platform AI applications, but faces severe latency and energy challenges on resource-constrained devices. In this paper, we present nnWeb, a WebGPU-based in-browser neural network inference framework with optimized latency and energy efficiency. nnWeb dynamically partitions neural network and facilitates the collaborative offloading between client browser and server. nnWeb operates in two phases: (1) layer-wise isolation-based profiling, which is used to predict per-layer execution latency and energy on heterogeneous hardware; and (2) asynchronous execution-based DNN partitioning, which continuously monitors network bandwidth and device load to select the optimal partition point using WebGPU's native pipeline parallelism, minimizing total latency or energy consumption by solving a closed-form optimization at runtime. Extensive evaluation on various in-browser AI models and networking conditions shows that nnWeb achieves an average reduction of 30% to 52% in total inference latency compared with static partitioning. Moreover, nnWeb realizes energy savings ranging from 11.3% to 44.0% in contrast to standalone browser inference. © 2025 Elsevier B.V.";Scopus;10.1016/j.comnet.2025.111489
Intelligent Solar Panel Monitoring Using Machine Learning and Cloud-Based Predictive Analytics;2025;"Dhilipana J.; Vijayalakshmia N.; Shanmugam D.B.; Maidin S.S.; Shing W.L.";Journal of Applied Data Sciences;The increasing global energy demand necessitates reliable and sustainable solutions, with solar photovoltaic (PV) technology emerging as a key carbon-neutral option. However, optimizing solar energy systems requires advanced monitoring and predictive analytics to enhance efficiency and ensure long-term performance. This study introduces an Internet of Things (IoT)-based solar energy monitoring system, integrating machine learning algorithms and cloud computing to enhance real-time performance assessment. The proposed system employs K-Means Clustering for condition classification, Support Vector Machine (SVM) for fault detection, Long Short-Term Memory (LSTM) for energy forecasting, Prophet for time-series predictions, and Isolation Forest for anomaly detection. The system was validated using a 125-watt photovoltaic module, monitoring temperature, solar radiation, voltage, and current. A Wi-Fi-enabled microcontroller collects data, which is processed through a cloud-based platform and visualized via the Blynk application. Experimental results demonstrate 94.2% energy prediction accuracy using LSTM, 89.7% fault classification accuracy with SVM, and 88.5% anomaly detection accuracy with Isolation Forest, confirming high reliability. The system's wireless tracking mechanism minimizes resource consumption, ensuring scalability and adaptability for commercial and industrial applications. The integration of IoT, machine learning, and cloud analytics provides a cost-effective and scalable approach for solar PV optimization. Future enhancements include deep learning models and reinforcement learning algorithms to improve energy forecasting, fault detection, and adaptive optimization, ensuring greater efficiency, resilience, and sustainability in solar energy management. © Authors retain all copyrights.;Scopus;10.47738/jads.v6i3.720
Deep Neural Network Inference Partitioning in Embedded Hybrid Analog-Digital Systems;2025;"Kress F.; Hoefer J.; Lin Q.; Schmidt P.; Zhu Z.; Zhu Y.; Harbaum T.; Wang Y.; Becker J.";Proceedings - International Symposium on Quality Electronic Design, ISQED;Deep Neural Networks (DNNs) deployed in resource-constrained embedded systems, like automotive platforms, often face severe 'memory wall' problems and energy-consuming data movements. To address this challenge, existing work has proposed Processing-In-Memory (PIM) architectures based on emerging non-volatile memory, which perform analog-domain computations inside memory, offering great potentials to solve the 'memory wall' problem. However, PIM-based accelerators suffer from circuit noise, impacting DNN accuracy. Therefore, building a heterogeneous multi-chiplet architecture based on energy-efficient analog PIM and high-precision digital computing units has become a promising DNN acceleration solution that achieves both high energy efficiency and high accuracy. In this paper, we present an automated framework to explore layer-wise DNN inference partitioning in hybrid analog-digital multi-chiplet systems. After performing a topological ordering, it analyzes the robustness of each layer to constrain mapping decisions across available analog PIM chiplets and digital chiplets. By considering several functional and performance metrics, the framework identifies Pareto-optimal partitioning schemes. Exten-sive experimental results on a variety of DNN models show a reduction in latency of up to 52% with a loss in accuracy of less than 1%. © 2025 IEEE.;Scopus;10.1109/ISQED65160.2025.11014471
Proactive VMs replication for high availability in OpenNebula cloud environments;2025;"Khair Y.; Benlabbes H.; Belabed M.";Computing;Data availability is critical in cloud environments, yet hardware failures and resource stress pose significant risks. Data loss can occur for a variety of reasons, including hardware failure or resource stress situations. To address this challenge, this paper presents a proactive virtual machine (VM) management system for OpenNebula cloud platform. This system provides instant recovery from service failover, ensures high availability, optimizes resource utilization, and reduces downtime in dynamic cloud environments. Our system leverages OpenNebula API as a prototype to dynamically implement and adjust replication limits based on real-time monitoring of virtual machine and host resource utilization, especially CPU utilization. The system combines replication VMs migration and VMs cloning techniques to provide a flexible and robust solution. Preliminary experiments demonstrate that replication offers improvements compared to cloning. Both mechanisms provide enhancements compared to taking no action when detecting a resource-constrained situation. Experiments show it reduces active hosts by 10%, achieves replication efficiencies of 65–82%, and enhances resource utilization compared to reactive approaches. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2025.;Scopus;10.1007/s00607-025-01476-1
